Название ;Автор(ы) (Фамилия Имя Отчество);Год издания ;Цена;Отделение;Жанр(ы);Количество;Издательство;Стеллаж(и);
В мире Литературы;А.Г. Кутузов, А.К. Киселев, Е.С. Романичева, И.И. Мурзак, А.Л. Ястребов;2001;NULL;Общеобразовательное;Общеобразовательное;1;Дрофа;1;
Русская литература XX века (20) 11 класс;В.В. Агеносов, Э.Л. Безносов, А.В. Леденев;2000;NULL;Общеобразовательное;Общеобразовательное;1;Дрофа;1;
Русская литература XX века (20) 11 класс;В.В. Агеносов, Э.Л. Безносов, Н.С. Выгон, С.А. Зинин, С.А. Леонов, М.А. Нянковский, М.Г. Павловец, С.Л. Страшнов;2000;NULL;Общеобразовательное;Общеобразовательное;1;Дрофа;1;
Русская литература XX века (20) 11 класс;В.В. Агеносов;2000;NULL;Общеобразовательное;Общеобразовательное;1;Дрофа;1;
Вся русская литература (учебное пособие);И.Л. Копылов;2002;NULL;Общеобразовательное;Общеобразовательное;1;Минск, Современный литератор;1;
Русская литература XIX века (19) (две части);Ю.В. Лебедев;2004;NULL;Общеобразовательное;Общеобразовательное;2;Москва, Просфещение;1;
Лев Толстой: КРУГ ЧТЕНИЯ Главный труд в одном томе;Л. Н. Толстой,К. Н. Ярусовой;2015;NULL;Общеобразовательное;Общеобразовательное;1;Москва, Издательство Э;1;
Русская литература XIX Века ;Ю.В. Лебедев;2002;NULL;Общеобразовательное;Общеобразовательное;1;Москва, Просвещение;1;
Русская литература XX Века ;В.П. Журавлев;2002;NULL;Общеобразовательное;Общеобразовательное;2;Москва, Просвещение;1;
Русская литература XIX века Хрестоматия художественный произведений;В.П. Журавлев;2002;NULL;Общеобразовательное;Общеобразовательное;2;Москва, Просвещение;1;
Русская литература XX века;В.П. Журавлев;2002;NULL;Общеобразовательное;Общеобразовательное;1;Москва, Просвещение;1;
Русская литература XIX века;Ю.В. Лебедев;2002;NULL;Общеобразовательное;Общеобразовательное;1;Москва, Просвещение;1;
Русская литература  XIX века;В.П. Журавлев;2001;NULL;Общеобразовательное;Общеобразовательное;1;Москва, Просвещение;1;
Биологоия Общние закономерности ;С.Г. Мамонтов, В.Б. Захаров, Н.И. Сонин;2002;NULL;Общеобразовательное;Общеобразовательное;5; Дрофа;1;
Биология Введение в общую биологию и экологию;А.А. Каменский ;2013;NULL;Общеобразовательное;Общеобразовательное;2;Дрофа;1;
Биология Введение в общую биологию и экологию;А.А. Каменский, Е.А. Криксунов, В.В. Пасечник;2004;NULL;Общеобразовательное;Общеобразовательное;1;Дрофа;1;
Биология зверей и птиц;Н.А. Харченко, Ю.П. Лихацкий, Н.Н. Харченко;2003;NULL;Общеобразовательное;Общеобразовательное;1;Академ'a;1;
Биология ЗДРАВООХРАНЕНИЕ;Н.В. Чербышев;2011;NULL;Общеобразовательное;Общеобразовательное;2;Академия;1;
